Time (min),Input 1: Ag Flow Rate in PFR #1 (uL/min),Input 2: Ag Flow Rate in PFR #2 (uL/min),Input 3: Ag Flow Rate in PFR #3 (uL/min),Input 4: Ag Flow Rate in PFR #4 (uL/min),Input 5: Ag Flow Rate in PFR #5 (uL/min),Input 6: SC/TA Flow Rate in PFR #1 (uL/min),Output 1: Mean Diameter of produced Ag NPs (nm),Output 2: ToxScore (-),,,,
0,1020,1020,1020,1020,1020,1020,62.98050017,0.315119298,,,,
1,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,62.9803998,0.315119757,,,,
2,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,61.44986125,0.322057548,,,,
3,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,60.80386599,0.324943604,,,,
4,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,57.94007845,0.337436357,,,,
5,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,58.10877659,0.336714081,,,,
6,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,58.38314019,0.335535756,,,,
7,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,58.25447707,0.336088895,,,,
8,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,56.33278409,0.344232296,,,,
9,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,55.95458494,0.345808865,,,,
10,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,55.74683077,0.346671261,,,,
11,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,50.9812804,0.365742247,,,,
12,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,47.52150714,0.378733985,,,,
13,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,47.38373252,0.379236471,,,,
14,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,47.38341764,0.379237618,,,,
15,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,47.38341766,0.379237618,,,,
16,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,47.38341766,0.379237618,,,,
17,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,47.38341766,0.379237618,,,,
18,697.7563764,855.0832367,1120.636977,401.3780912,624.7897499,1598.922246,47.38341766,0.379237618,,,,
